,NAME,USER_ID,HOURS_DATASCIENCE,HOURS_BACKEND,HOURS_FRONTEND,NUM_COURSES_BEGINNER_DATASCIENCE,NUM_COURSES_BEGINNER_BACKEND,NUM_COURSES_BEGINNER_FRONTEND,NUM_COURSES_ADVANCED_DATASCIENCE,NUM_COURSES_ADVANCED_BACKEND,NUM_COURSES_ADVANCED_FRONTEND,AVG_SCORE_DATASCIENCE,AVG_SCORE_BACKEND,AVG_SCORE_FRONTEND,Profile
2354,Tina Reid,52463443,27,77,56,3,6,6,6,5,4,82,71,58,2
2355,Rachel Gilman,14648229,27,52,47,7,2,8,3,7,7,67,64,69,3
2356,Christopher Donaldson,73838626,54,8,46,2,7,2,2,4,0,56,72,51,2
2357,Sandra Jacob,25371611,5,99,48,4,9,0,3,3,1,38,76,51,2
2358,Brandy Newsome,3200521,57,37,0,7,1,7,1,7,4,40,67,63,5
2359,James Anderson,75196157,14,15,43,2,3,6,1,5,3,51,74,83,4
2360,Denise Woods,2790432,29,78,41,4,9,3,5,4,2,73,76,55,2
2361,Janice Vaughn,9200947,53,33,47,0,3,6,6,6,0,57,63,55,4
2362,Ralph Stjohn,5427498,24,32,55,2,5,1,2,6,2,51,66,63,2
2363,Gail Flenard,21642994,27,10,76,2,1,7,5,5,2,67,87,61,4
2364,Thomas Hager,88952758,48,65,37,5,7,3,2,4,1,64,82,48,2
2365,Pamela Vasquez,2435363,0,55,34,6,3,7,2,0,4,97,83,71,3
2366,Robert Smith,97726127,33,50,48,5,2,7,0,1,2,63,46,74,5
2367,Tamera Calder,12617558,49,70,30,4,1,5,6,3,4,68,100,71,1
2368,Sara Wheeler,54547447,13,34,37,4,5,4,1,3,5,68,66,80,4
2369,Irene Freeman,30757829,11,18,50,6,1,6,2,0,3,45,60,61,4
2370,Catherine Seigel,50994157,3,41,22,7,2,8,6,3,8,87,82,60,3
2371,Paul Bourg,10311777,44,52,8,7,4,6,6,5,3,40,70,75,5
2372,Jacob Fitts,11843296,29,35,32,2,1,0,2,4,4,79,53,46,0
2373,Lois Wayman,11211684,,58,68,1,6,1,4,4,2,75,72,82,2
2374,Kirk Alfaro,45249098,49,83,23,3,6,2,1,4,3,71,62,37,0
2375,Brian Powell,60541289,16,34,63,1,1,5,0,4,3,23,60,75,4
2376,Frederick Grambo,40093036,57,46,34,5,7,2,5,5,4,68,87,82,2
2377,Gail Mascia,69518637,83,24,20,4,8,5,4,1,3,53,66,62,0
2378,Esmeralda Godfrey,69412133,51,62,46,4,2,6,3,2,4,63,47,89,5
2379,James Wright,78704659,66,20,34,0,2,2,4,5,5,44,68,92,2
2380,Raymond Lopez,39424026,27,61,41,3,6,0,0,4,3,15,85,55,2
2381,Dave Overstreet,33787177,30,37,77,3,4,5,1,4,2,86,56,40,2
2382,Kathryn Edmonds,54835315,28,22,25,5,2,4,4,3,7,94,89,92,3
2383,Donald Cummings,5564206,42,38,35,5,2,7,3,2,4,51,56,79,5
2384,Leslie Mcgillicuddy,29955902,22,65,76,2,1,0,5,6,3,79,40,40,0
2385,Joseph Sellner,6242795,26,51,6,5,5,3,2,8,1,61,68,63,5
2386,Kathy Hudson,77984028,0,27,14,2,7,3,3,9,0,100,67,76,1
2387,Doris Fujimoto,15429625,58,38,4,7,2,6,1,4,4,55,75,82,5
2388,Melvin Barry,65955883,74,37,23,5,6,8,3,7,4,70,47,65,0
2389,Frances Lewis,57334262,46,41,45,4,4,3,2,3,0,73,64,73,5
2390,Jessica Albright,66737411,57,66,31,4,4,6,1,5,2,65,46,71,5
2391,Alan Fisher,48498601,33,54,52,2,5,5,3,4,3,81,80,72,1
2392,Angela Leahy,24244770,70,37,35,3,7,4,2,4,1,59,65,55,0
2393,Laura Holden,34516182,31,72,0,4,5,3,1,5,0,90,64,59,1
2394,Edith Grigsby,48735670,53,39,1,3,6,5,3,3,3,80,54,57,0
2395,Emma Elrod,90582936,40,22,35,3,2,0,1,6,3,71,52,50,0
2396,Dan Reddy,45601898,45,19,84,3,4,2,7,4,2,59,66,55,4
2397,Jessica Borden,14312368,23,53,0,1,1,3,2,4,4,65,49,63,1
2398,Anita Mancia,2116827,50,22,101,4,1,0,7,3,3,51,65,50,4
2399,James Kirby,39026644,8,58,0,0,0,4,2,0,7,61,,64,1
2400,Minh Dark,11017016,29,9,64,4,1,4,2,3,4,68,78,75,4
2401,Edward Banther,19132776,47,38,70,2,6,9,0,2,3,50,86,94,4
2402,Tom Quint,73583848,99,5,31,6,6,8,6,2,6,44,47,72,0
2403,Michele Murray,56703609,30,33,29,2,6,2,3,5,4,54,78,76,2
2404,Stacey Pinegar,27357092,41,41,45,3,5,4,2,3,3,50,69,,4
2405,Edward Fox,37993407,45,0,55,5,0,4,1,7,0,71,37,70,0
2406,Anne Laplante,40083925,35,29,41,1,1,2,2,3,5,44,65,79,4
2407,Bobby Burns,25550484,68,17,15,4,8,6,5,6,3,78,79,79,0
2408,Sarah Bowie,19289543,23,10,50,4,4,2,3,2,3,59,40,60,4
2409,Shirley Vizza,73494945,28,61,63,7,0,9,2,3,8,95,63,100,3
2410,Janet England,45586375,18,64,43,3,2,0,2,7,5,85,60,39,0
2411,Charles Pack,46927170,27,22,42,4,3,4,4,6,6,79,90,73,3
2412,Drew Bennett,2227444,56,15,0,7,1,6,0,5,3,55,54,71,5
2413,Clinton Brown,26593696,52,60,25,1,0,6,4,3,3,70,79,60,1
2414,Christian Garcia,86601729,56,40,0,7,2,5,2,5,3,63,56,77,5
2415,Pearl Hatfield,48969781,22,47,28,6,4,0,1,5,3,75,59,79,1
2416,William Lantz,32679927,72,26,56,4,5,6,2,5,2,58,42,61,0
2417,Joyce Green,73829260,27,70,59,6,2,7,4,4,9,83,70,63,3
2418,Ryan Reese,71644637,0,2,16,0,5,5,5,6,2,90,64,69,1
2419,Alix Vaughn,98846841,43,34,68,0,3,6,6,6,1,62,68,51,4
2420,Mitchell Sandridge,3155076,11,15,40,2,1,8,2,4,3,56,66,72,4
2421,David Jefferson,12328649,58,65,26,3,1,6,0,6,5,69,34,66,5
2422,James Sumpter,18015894,47,68,19,3,1,4,7,1,5,77,90,70,1
2423,Rosemary Carney,95302125,52,11,72,4,2,1,6,2,2,57,63,61,0
2424,Maria Rodriguez,43445172,39,45,49,3,3,3,3,3,3,49,55,74,4
2425,Harold Reynoso,20813800,19,19,23,1,3,9,2,3,1,54,77,77,4
2426,Carlos Travis,25037770,46,56,42,2,0,0,4,8,0,64,61,,1
2427,Pablo Maack,76924719,43,8,55,1,3,2,1,8,2,61,37,60,0
2428,Cindy Amaya,80534129,63,11,22,7,4,5,2,4,1,50,64,63,5
2429,Adam Rutledge,52883469,30,53,42,2,3,5,1,7,4,58,57,64,5
2430,Katie Mosley,46347894,40,35,23,3,3,6,0,2,5,51,71,92,4
2431,Regina Moss,9164348,43,31,16,4,6,3,2,3,2,71,67,57,0
2432,Michael Gilley,18805039,31,70,65,5,3,4,3,5,4,59,69,47,2
2433,John Cook,55255050,25,64,2,7,3,6,4,5,4,45,78,87,5
2434,Joel Oroark,24599737,36,59,60,3,5,0,1,4,2,52,79,58,2
2435,Crystal Brown,14845117,25,45,28,4,5,3,0,6,0,85,59,46,5
2436,Maryrose Wynn,42742306,11,26,41,6,1,0,3,6,3,82,69,55,0
2437,Joseph Acuff,89044231,29,29,62,2,4,2,4,6,5,64,76,82,2
2438,Roy Grajeda,5565641,20,85,68,4,5,1,4,5,2,69,69,71,2
2439,Lillian Blackman,59778569,65,33,39,6,5,4,4,5,1,54,80,76,5
2440,Milton Simmons,96529152,4,53,25,5,3,0,0,6,2,80,64,83,1
2441,Darla Bryant,27514617,47,63,47,3,5,5,7,7,6,29,71,57,5
2442,Edwin Sanford,75911054,54,0,58,3,7,6,5,5,3,61,59,82,0
2443,Gary Poitras,55821895,4,45,22,5,4,0,2,3,5,64,53,75,1
2444,Anna Shea,26547192,93,35,5,4,8,8,1,5,3,61,63,67,0
2445,Joseph Gemmill,87334620,29,63,29,3,6,6,0,8,0,78,69,61,0
2446,Monique Reagan,6954287,21,57,38,6,5,4,4,3,0,62,63,71,3
2447,Frank Gamble,37995554,74,19,0,2,5,5,0,2,2,65,54,56,0
2448,Williams Haug,37894894,45,24,54,2,4,2,2,5,3,41,74,60,2
2449,James Washington,13646649,19,32,64,3,0,8,4,3,2,47,86,63,4
2450,Marsha Glidden,51669290,50,42,59,3,5,3,0,3,5,70,57,82,4
2451,Mary Edwards,50753948,32,49,30,4,1,2,4,5,2,70,68,67,1
2452,Christina Sykes,4872204,59,4,0,7,8,3,4,3,7,75,79,64,3
2453,Paul Bozarth,83633267,45,59,40,8,3,6,3,3,5,82,57,76,3
2454,Robin Mirabal,64774915,42,66,62,2,4,2,6,4,3,64,36,69,5
2455,Lucy Broddy,91967177,9,41,0,1,3,7,3,4,4,72,44,41,1
2456,Brandy Palmer,83583309,37,33,22,0,8,1,5,4,2,55,70,82,2
2457,Ruth Partida,55140495,46,57,34,3,4,2,5,5,5,42,81,71,2
2458,Delores Lake,98210452,43,16,39,2,3,4,3,4,3,78,60,59,4
2459,Tami Cobb,55446280,42,8,3,2,3,0,2,3,5,73,58,54,0
2460,Peter Jewell,90609696,60,35,30,4,4,5,1,5,1,64,58,63,5
2461,David Browning,28616082,59,48,42,3,7,4,5,4,1,70,64,54,2
2462,Mildred Jones,92122363,45,21,44,3,4,3,2,6,2,61,67,58,2
2463,Gina Tainter,47397543,69,52,12,7,7,4,3,5,1,42,57,56,3
2464,Robert Swartz,91729017,76,14,52,6,6,3,0,3,2,42,82,22,2
2465,Marie Howard,46133293,69,31,33,4,4,7,1,7,3,70,39,58,0
2466,Sharon Larson,13382292,11,83,20,2,9,1,5,4,4,36,100,54,2
2467,Mercedes Davis,72634778,21,59,47,5,2,6,6,4,7,75,71,69,3
2468,Kathryn Church,39901194,30,61,67,4,3,6,2,1,2,12,70,65,4
2469,Samuel Simonds,68016417,45,50,88,7,5,2,4,8,2,49,83,89,1
2470,Francisco Rider,3869320,29,49,66,1,3,3,4,5,3,75,61,77,2
2471,William Bible,34586523,23,103,33,5,4,7,4,3,2,69,82,96,5
2472,Michael Bryant,54928176,0,49,35,6,4,5,7,1,2,75,71,88,3
2473,William Raymond,21653746,55,57,55,5,0,7,3,2,7,94,69,80,3
2474,Linda Chapman,75326749,30,46,63,2,6,2,5,5,2,59,68,67,5
2475,Donald Balboa,55354615,39,61,9,5,4,5,4,7,0,57,68,57,5
2476,Joyce Henricks,38330490,23,22,27,1,3,7,2,4,1,60,75,75,4
2477,Alphonse Brown,20931891,40,31,61,5,3,6,3,3,3,67,74,63,4
2478,Sheila Mollette,7651575,48,43,33,2,4,3,3,5,6,63,57,70,1
2479,Nanette Moreno,50728905,65,73,41,5,0,2,9,0,7,64,,90,1
2480,Cecelia Goldman,70311444,63,46,57,2,5,4,6,5,2,47,82,70,4
2481,Darla Reynolds,98462518,11,40,41,5,3,6,6,4,8,86,75,68,3
2482,Henry Oshea,26806037,60,49,31,4,3,2,5,7,3,50,65,74,3
2483,Jeff Sperling,19438479,25,18,76,2,4,3,0,5,2,58,69,42,2
2484,Jessie Hanna,18832128,52,62,2,2,6,2,2,2,4,71,59,42,0
2485,Cristina Jurczyk,72132710,32,42,42,4,2,4,4,5,5,75,78,83,3
2486,Eric Neely,52189816,40,49,34,4,2,4,2,5,0,78,25,49,5
2487,Barbara Vega,86209675,65,19,45,4,3,3,0,4,3,37,79,50,2
2488,Rachel Bennett,88806256,71,30,45,1,3,4,2,4,3,37,66,44,2
2489,Christopher Lucas,77292712,67,38,8,6,4,6,0,4,5,69,80,77,3
2490,Aaron Shanholtz,92215221,15,72,50,1,1,5,7,4,8,61,77,69,3
2491,Alfred Stevens,67732060,43,37,23,5,4,3,6,5,5,66,67,74,3
2492,Julio Diggins,43626156,13,58,44,4,5,4,3,6,6,53,92,59,2
2493,Cristina Fournier,36096687,52,39,41,2,5,4,4,7,3,69,54,55,0
2494,Alan Bartoletti,17167641,24,14,19,1,1,4,7,5,2,66,63,57,4
2495,Jill Meister,32921270,0,26,80,1,1,3,2,8,4,68,63,74,2
2496,Lisa Adams,36898423,5,69,54,1,6,1,5,5,3,81,86,84,2
2497,Paul Koehler,16916457,45,68,45,4,2,4,7,3,0,93,84,75,1
2498,Christian Childs,62105067,14,34,52,4,4,10,1,2,2,75,79,72,4
2499,Alice Gavitt,4079938,0,63,64,2,4,7,5,7,4,69,51,50,2
2500,David Thompson,19672333,20,67,37,5,5,1,1,5,5,35,88,60,2
2501,Calvin Lunford,72745746,36,68,28,4,3,6,5,5,5,52,66,77,5
2502,Susan Heiden,1602678,19,48,42,5,2,6,4,3,6,83,79,74,3
2503,Rodney Andrew,2671769,75,60,38,5,1,5,6,3,7,73,59,70,3
2504,France Roy,134014,0,25,49,2,2,4,1,1,4,44,37,61,4
2505,Ismael Tuck,65077043,25,67,51,5,3,4,8,3,6,72,65,56,3
2506,Ronald Cohen,7611586,64,25,15,5,2,0,8,3,3,66,66,94,3
2507,Marjorie Crissler,19323839,60,54,61,4,2,8,3,1,5,56,73,94,5
2508,Kimberly Owens,57537842,28,17,33,1,1,10,5,4,0,66,85,67,4
2509,Joel Long,56419113,8,42,17,1,5,6,2,4,3,96,83,62,1
2510,Christia Barrera,33712269,89,24,16,3,10,7,4,7,4,64,63,71,0
2511,Edmund Hawkins,59922375,94,71,37,6,10,2,5,3,0,74,79,61,2
2512,Virginia Mcgee,91672800,77,29,17,3,3,3,4,5,7,61,91,65,3
2513,William Gomez,75869201,0,0,1,0,5,5,3,5,3,86,48,55,1
2514,Ida Warthen,37965100,55,27,53,0,7,3,2,9,2,65,46,63,0
2515,Katharine Snyder,87075743,44,29,72,0,1,4,1,5,3,55,71,74,4
2516,Donald Marchan,79725833,52,36,73,3,5,3,6,2,3,65,82,67,4
2517,Joyce Lilly,3372119,41,36,4,6,4,6,5,3,5,73,68,55,3
2518,Milan Velazquez,59230332,30,44,51,3,7,2,3,5,2,53,73,50,2
2519,Shawn Taylor,9374381,56,81,82,3,0,3,5,6,4,63,64,76,3
2520,Michael Mcclanahan,18288845,36,40,16,2,3,5,7,5,0,83,70,64,1
2521,Gail Gonzalez,24786609,23,26,39,3,3,7,0,2,4,50,78,88,4
2522,Jenna Alessio,73761014,3,4,39,3,2,5,7,2,2,53,69,54,4
2523,Charles Jacobi,83908544,23,48,36,4,5,4,3,4,4,69,84,73,1
2524,Linda Gehrke,63479030,0,61,78,2,5,0,0,5,1,59,64,62,3
2525,Clifton Johnson,31599958,36,72,15,4,4,4,4,6,4,65,52,82,5
2526,Lisa Burge,84409557,10,0,44,2,2,3,5,3,3,50,62,55,4
2527,Steven Barnhurst,78040446,42,33,49,2,8,0,3,4,0,65,86,,2
2528,Lacey Hershberger,23873700,8,41,33,7,0,7,5,3,6,93,69,81,3
2529,Cameron Mcgaughey,35356126,24,55,52,3,7,5,4,2,7,64,88,72,1
2530,David Russell,74771676,54,71,27,7,3,6,0,3,0,76,46,66,5
2531,Wilfredo Patterson,62108592,48,60,28,5,7,5,4,3,5,60,79,50,2
2532,Janice Motley,35573876,25,46,10,4,3,4,6,5,4,65,82,86,1
2533,Lindsay Roussel,48610944,50,37,0,1,7,1,3,2,2,70,73,53,0
2534,Randall Carranza,49621874,68,29,48,4,5,3,6,6,2,48,73,62,5
2535,William Hill,5220063,18,30,62,4,0,8,2,2,3,56,84,69,4
2536,Ryan Brown,89148989,2,33,34,6,3,8,3,5,9,88,95,57,3
2537,Carolina Damiano,5210171,52,47,42,4,6,5,4,5,3,66,78,52,2
2538,Alicia Bud,97380740,43,26,10,6,2,7,0,7,1,58,74,57,5
2539,Gail Canaday,79284950,15,19,32,1,2,6,5,7,1,66,80,71,4
2540,Travis Worthington,88842245,61,53,13,5,4,4,4,8,3,47,60,60,5
2541,Gregory Barragan,77083135,65,32,21,8,5,4,3,5,0,62,49,45,5
2542,David Green,93906016,78,25,66,3,4,3,4,5,3,50,38,51,0
2543,Lee Dismukes,61645006,17,48,47,4,2,4,7,2,5,72,70,94,3
2544,Janie Carroll,5173300,12,35,45,2,3,3,6,2,3,100,100,79,1
2545,Mildred Pressnell,57004961,28,53,65,2,4,0,3,4,2,73,56,44,0
2546,Travis Huntsinger,70913466,73,0,13,2,2,4,3,4,3,59,42,64,0
2547,Jimmy Davis,86418543,40,49,22,3,8,5,1,2,1,76,74,58,0
2548,Lillian Mcwilliams,46881569,26,24,47,3,5,5,6,4,3,83,82,69,1
2549,Hattie Barfield,30651661,35,31,4,2,8,3,3,3,4,38,88,62,2
2550,Eula Gourd,10676119,40,74,9,4,1,3,3,1,5,65,77,53,1
2551,Angela Salazar,91156658,0,22,0,0,9,8,3,4,4,96,69,52,1
2552,Kathryn Wickersham,90974685,25,22,53,0,2,5,5,6,1,47,87,76,4
2553,Jessica Liddell,82912143,44,36,19,7,5,6,5,5,5,56,65,64,3
2554,Eric Harrington,72637158,69,45,13,3,1,5,6,4,5,64,70,55,3
2555,Weldon Boxer,87647180,36,49,32,3,1,2,8,2,4,80,63,88,3
2556,David Hurst,26178560,29,53,36,2,2,0,4,5,5,66,83,92,1
2557,Paul Burden,94151440,37,73,51,3,4,5,6,5,5,68,69,69,2
2558,Mia Johnston,52545399,60,32,9,2,5,3,2,8,5,82,53,56,0
2559,Eric Urrutia,67105223,81,10,3,4,3,5,4,6,11,80,85,52,3
2560,Isaac Denard,17328269,50,73,24,5,3,3,1,9,1,53,64,77,1
2561,Betty Thompson,7738460,40,46,28,,2,1,6,5,4,,77,78,1
2562,April Peterson,78819660,71,35,28,2,3,2,6,7,2,57,19,42,5
2563,George Eychaner,9390274,22,23,54,3,1,6,4,1,3,51,84,66,4
2564,Dennis Wilson,93416569,44,66,47,4,5,2,3,4,3,54,76,59,2
2565,Melissa Howell,95099084,89,62,37,3,3,3,4,6,6,47,52,80,3
2566,John Alex,34912414,17,83,76,1,2,3,6,4,4,55,71,78,3
2567,Martha Myers,84010615,11,54,44,6,4,4,5,4,4,68,68,77,3
2568,Lilli Slaff,56261324,68,42,49,2,6,1,1,4,2,58,48,48,0
2569,Kathy Crews,20948591,39,11,61,2,4,2,1,5,2,44,57,54,2
2570,Noreen Blasingame,96834199,40,35,75,4,6,0,4,5,5,79,82,90,1
2571,Latricia Mclaughlin,92503605,21,39,46,2,0,2,4,6,4,54,85,84,1
2572,Carol Arceo,51271598,25,66,14,5,4,3,1,9,0,66,52,54,5
2573,Eldon Tinnon,31841568,17,43,40,2,1,5,6,0,7,60,87,66,1
2574,Ruby Rowell,75442398,17,36,11,1,5,2,2,9,2,49,48,36,5
2575,Jeffrey Alexander,78316352,44,40,20,3,3,2,4,9,3,65,45,57,5
2576,Velia Bass,11166925,57,82,20,8,3,7,4,5,3,62,64,83,5
2577,Marie Jones,49856149,50,40,24,0,3,0,2,0,0,61,62,,0
2578,Myrtle Webster,14524396,48,37,45,2,1,4,6,3,6,61,66,65,1
2579,Tom Schilling,9377155,49,40,6,6,4,8,6,2,8,66,61,66,3
2580,Barbara Bibeau,9194885,54,51,36,2,6,3,5,5,2,51,54,67,2
2581,Awilda Dudziak,73100787,13,67,24,6,4,8,2,0,3,65,67,76,3
2582,Gary Hill,4894055,23,67,46,4,6,5,4,6,3,61,75,43,2
2583,John Pickering,61872858,66,46,54,0,3,5,4,4,4,75,93,81,4
2584,Adam Behling,31014477,29,31,66,4,3,5,3,1,3,57,69,68,4
2585,Melissa Woodson,94547193,29,61,22,4,4,3,0,5,3,77,73,68,1
2586,Delores Nolan,68516522,15,49,50,2,6,0,5,4,3,82,75,58,0
2587,Joyce Swindler,31734420,0,39,48,5,7,4,6,8,7,98,72,70,0
2588,John Saleh,11306260,61,41,31,5,3,4,6,6,4,45,34,53,5
2589,David Strother,16827081,46,28,27,3,4,3,4,6,2,53,59,61,5
2590,Manuel Salmon,12585209,44,78,9,2,3,6,0,7,0,71,65,52,1
2591,Shannon Morsbach,95846394,60,36,20,7,1,5,6,4,5,49,57,89,5
2592,Kenneth Jackson,56630177,64,34,37,4,1,7,0,8,4,58,45,43,5
2593,Cynthia Matthews,23214823,40,35,21,3,7,2,4,3,4,87,80,58,0
2594,Amy Martinez,38195417,37,40,59,2,3,6,3,4,3,54,86,78,4
2595,Daniel Curtis,27799443,62,45,16,7,9,5,6,5,6,78,81,63,0
2596,David Donati,20379683,39,20,73,3,0,6,6,2,3,59,91,62,4
2597,Timothy Kyle,53706514,44,71,37,5,2,6,6,7,4,50,58,68,5
2598,Micheal Brenna,31742734,14,42,51,0,1,7,0,3,5,,64,79,4
2599,Bradley Cervantes,78081216,28,16,58,4,2,6,6,1,3,61,91,57,4
2600,Daniel Hughes,28978817,59,42,39,3,5,4,3,7,3,52,57,55,5
2601,Madeline Mccombs,40949454,39,33,37,1,8,2,3,5,0,46,58,49,2
2602,Melissa Clark,12246528,43,32,29,2,4,2,3,5,4,53,56,64,5
2603,Terry Cook,16364057,7,30,33,2,4,7,2,2,3,62,57,68,4
2604,Agnes Sykes,2874426,0,42,63,1,4,3,3,8,4,65,76,71,2
2605,Judith Plante,56643766,22,13,90,3,0,5,4,1,2,46,79,55,4
2606,Kathryn Mcmillan,15319443,32,27,44,9,2,8,2,8,8,83,63,91,3
2607,Paul Englert,65458734,35,28,67,0,5,3,1,3,2,60,44,56,5
2608,Holly Simon,28240905,54,57,82,4,1,4,3,3,4,59,80,65,4
2609,Lydia Gonzalez,26761882,27,36,44,3,2,1,3,7,1,71,63,68,1
2610,Melvin Smith,90368165,62,0,54,2,4,7,6,6,0,62,43,82,0
2611,Walter Mullins,97609146,21,31,13,1,4,6,6,5,3,85,75,64,1
2612,Randy Clark,90966069,51,39,23,5,3,5,3,6,4,51,68,71,5
2613,Sharon Murray,33274654,57,45,10,1,6,4,6,7,0,71,71,80,4
2614,Cornelius Swift,25221932,35,44,29,6,2,9,5,6,11,78,68,57,3
2615,Cynthia Halstead,31601338,89,0,35,4,7,7,5,6,1,53,63,83,0
2616,George Campbell,12572401,39,31,62,3,2,2,5,1,4,59,54,54,4
2617,Jane Glaze,87838090,0,62,16,1,1,1,0,9,3,100,42,39,0
2618,Pamela Haydu,64177152,13,28,10,8,4,5,5,6,1,60,67,73,3
2619,Barbara Clemons,13604246,13,5,38,2,1,4,3,4,3,71,59,65,4
2620,Effie Ferguson,24862297,20,35,51,5,5,0,4,5,5,79,68,51,0
2621,Jacob Curry,32241441,74,71,52,4,1,5,4,8,2,39,76,83,1
2622,Lilia Ufford,91825204,0,65,69,5,3,6,5,4,8,71,79,74,3
2623,Dorothy Owen,40896664,5,45,11,3,3,2,0,7,3,64,59,59,1
2624,Jenny Sherrill,66101524,59,58,32,5,2,7,5,4,7,69,58,67,3
2625,Michael Thompkins,74279221,44,49,66,6,4,7,2,2,3,57,91,81,4
2626,Jennifer Guerra,36692638,11,14,29,2,2,5,2,5,3,66,63,74,4
2627,Mark Herrod,62983,43,0,0,8,5,3,4,6,5,71,83,74,3
2628,George Vorpahl,8697194,3,61,0,2,1,0,2,4,4,98,52,36,0
2629,Marta Bally,10663942,32,52,57,4,6,4,2,4,3,66,77,45,2
2630,Inocencia Finnie,44907848,43,66,16,6,3,6,5,4,1,57,59,65,5
2631,Pamela Chalmers,23170336,41,44,82,5,3,6,6,3,1,66,80,50,4
2632,Benjamin Eckart,1907740,0,36,35,6,2,0,3,6,1,98,80,54,0
2633,Thomas Harrington,74652988,76,24,18,8,3,5,4,1,0,55,49,66,5
2634,Kimberly Wallace,42900697,48,77,21,2,3,4,3,4,2,84,82,61,1
2635,Virginia Shook,16145386,18,19,21,2,5,6,3,5,1,54,58,77,4
2636,Betty Barris,95683496,38,26,59,2,3,2,2,6,2,68,58,79,2
2637,Zachary Rogers,98177112,45,0,56,4,0,4,0,6,5,49,77,60,2
2638,Diane Hale,44012995,50,44,3,7,3,4,3,3,1,64,49,72,5
2639,Dale Wells,98279752,56,13,11,4,3,3,5,4,8,85,85,82,3
2640,Thelma Simmons,65371808,56,73,44,4,6,2,3,3,1,66,66,54,2
2641,Cornelius Farmer,98881622,25,53,26,5,3,6,7,1,7,82,71,59,3
2642,Anthony Werth,77038861,57,4,30,2,5,2,1,3,1,59,49,55,0
2643,Robert Ross,15170437,40,67,38,3,4,2,3,5,3,74,76,76,1
2644,Diane Reddy,22722861,32,90,25,4,2,4,5,6,4,61,52,84,5
2645,Darline Durbin,68338625,70,32,77,3,6,2,2,3,2,59,45,65,5
2646,Valerie Christain,4477960,13,42,49,6,4,7,0,2,3,49,81,78,4
2647,Timothy Johnston,53096858,21,47,60,2,0,3,1,2,7,50,77,75,1
2648,Marvin Lott,23272366,14,0,56,1,2,7,1,7,5,61,61,50,2
2649,Anna Lemieux,53959736,23,12,62,1,2,5,3,3,2,39,58,62,4
2650,David Malone,82890557,73,56,42,5,6,2,3,3,2,67,78,70,2
2651,James Blankenship,18656122,75,53,20,6,5,5,2,3,3,64,29,42,0
2652,Eleanor Sparks,88597423,20,14,0,7,0,10,0,3,3,64,76,77,5
2653,Raymond Gonzalez,61131676,33,12,65,1,2,2,2,7,5,45,71,75,2
2654,Jennifer August,8321864,41,50,29,3,6,5,3,4,2,67,60,50,2
2655,Willie Sweat,92811791,27,49,17,4,5,4,4,4,4,58,70,74,3
2656,Grover Richter,61888672,63,18,56,3,5,3,1,5,0,62,74,37,2
2657,Charles Galicia,90888075,49,33,66,4,3,5,7,4,1,48,87,63,4
2658,Hattie Beyers,32448403,15,102,29,2,3,6,5,11,5,65,60,59,5
2659,Richard Hernandez,41991134,22,35,38,3,3,3,4,1,7,66,81,74,1
2660,Gary Renfrew,12359464,61,19,64,4,7,6,1,3,0,63,58,15,2
2661,Barbara Green,48255994,37,71,0,8,3,8,1,9,0,63,80,50,5
2662,John Ramirez,47088733,77,7,18,6,2,8,1,5,4,38,66,55,5
2663,Clarence Cain,12980375,48,36,19,7,3,6,2,4,0,58,64,56,5
2664,Harry Maddox,65182735,81,27,54,8,4,5,4,0,3,53,70,100,5
2665,James Perez,60232369,15,37,41,3,7,8,2,4,2,62,68,11,2
2666,Kevin Stephenson,24507200,45,16,66,5,4,3,1,3,2,64,59,69,5
2667,Ben Brown,68905432,81,11,27,2,6,5,4,5,3,58,40,63,0
2668,Derek Fussell,84907301,21,38,15,7,5,1,3,6,8,88,66,57,0
2669,John Choice,91115370,51,29,37,3,2,5,4,8,10,57,95,59,3
2670,Belinda Cavazos,99313351,0,59,47,2,3,5,2,7,5,52,76,47,2
2671,Joesph Amburgey,2952202,20,75,63,3,2,7,5,3,8,75,68,73,3
2672,Cheryl Maxwell,74346562,23,45,41,4,2,5,6,4,6,63,72,96,3
2673,Jon Walczak,91770402,14,7,49,2,3,3,9,3,6,70,77,80,1
2674,Emily Anderson,26103490,0,16,55,3,10,6,1,3,9,71,91,81,1
2675,Mary Wison,62628518,98,35,41,7,3,4,5,3,2,62,34,67,5
2676,Anthony Robertson,517217,42,15,61,5,6,4,3,3,3,77,87,83,4
2677,Deanna Anderson,72675521,62,41,26,5,3,7,1,3,3,54,84,81,5
2678,Michele Kurtz,38117245,0,59,16,2,6,5,1,1,5,92,100,66,1
2679,Elsa Thompson,63357271,54,55,21,6,2,6,3,3,3,64,64,88,5
2680,Ramon Tarvis,1656601,58,61,34,5,5,6,5,8,5,47,89,76,5
2681,Mary Bates,38106700,25,65,17,6,3,5,1,7,1,71,45,49,5
2682,Carl Lysak,82965843,0,20,15,0,5,8,1,1,6,96,90,52,1
2683,Robert Willis,72742877,57,44,52,1,5,3,2,7,3,63,67,81,4
2684,Don Amoroso,62274495,46,50,27,6,4,7,0,4,6,66,77,77,3
2685,Dorothy Renyer,33606971,37,39,50,3,3,5,0,2,4,64,60,84,5
