Unnamed: 0,NAME,USER_ID,HOURS_DATASCIENCE,HOURS_BACKEND,HOURS_FRONTEND,NUM_COURSES_BEGINNER_DATASCIENCE,NUM_COURSES_BEGINNER_BACKEND,NUM_COURSES_BEGINNER_FRONTEND,NUM_COURSES_ADVANCED_DATASCIENCE,NUM_COURSES_ADVANCED_BACKEND,NUM_COURSES_ADVANCED_FRONTEND,AVG_SCORE_DATASCIENCE,AVG_SCORE_BACKEND,AVG_SCORE_FRONTEND
360,Norbert Rodriguez,89140414,45,55,6,6,2,7,3,4,3,55,70,77
361,Brenda Schubbe,75266946,49,20,27,6,3,4,5,4,5,76,65,67
362,Rhonda Cespedes,72264469,15,28,38,4,4,0,2,8,5,88,56,55
363,Peter Shelman,75031845,43,18,53,5,5,1,1,5,0,78,51,58
364,Helen Landis,21833524,57,26,47,4,5,4,3,3,2,56,68,63
365,Christopher Polizio,3388794,16,56,45,4,8,1,2,5,3,33,85,40
366,Beverly Gaunce,26364834,62,53,25,6,3,6,3,5,4,56,51,72
367,Doris Hambright,46845827,41,62,37,3,5,1,5,5,5,59,86,87
368,Andrew Luck,55412763,41,62,40,3,6,3,2,3,3,54,84,51
369,Omar Parker,51726354,24,56,31,4,4,4,2,7,2,63,69,64
370,Nicole Welch,97816673,6,57,19,2,3,0,2,5,2,90,83,55
371,Oscar Lapointe,91009203,0,33,59,1,3,1,3,7,3,56,62,80
372,Connie Brase,98393080,22,39,47,3,5,6,4,5,0,78,63,60
373,Curtis Johnson,57365325,0,60,55,3,6,3,3,6,3,49,72,41
374,Michael Ferguson,24016922,51,50,48,5,5,1,2,10,1,52,54,75
375,Juan Ward,78899436,56,19,46,2,6,7,4,5,0,68,38,33
376,Gregory Torres,67351962,11,7,24,7,3,4,6,6,8,88,83,84
377,Robert Rhodes,49609438,37,111,20,5,3,2,7,4,3,77,42,90
378,Nina Martinez,90888338,66,0,60,4,2,4,2,1,3,52,51,66
379,Libby Dykes,50625490,11,36,61,5,3,4,5,3,3,51,76,64
380,James Novak,17801268,46,34,41,2,4,3,4,7,3,74,40,54
381,Carol Fong,20795795,53,22,47,1,5,3,4,7,4,63,58,66
382,Kenneth Marroguin,28325405,8,58,7,1,2,0,0,6,3,96,56,37
383,Virgil Manzanares,48622398,27,51,37,2,6,0,3,5,3,45,75,88
384,Penny Cush,27684,0,21,34,0,3,6,2,7,6,43,87,42
385,Lisa Lindsey,84380600,25,44,45,5,2,4,3,3,5,86,85,84
386,Charles Machado,4830414,57,43,27,6,2,3,4,4,2,67,60,92
387,Noe Boe,86439051,14,34,35,4,0,2,1,7,1,84,61,59
388,Lisa Coste,65162255,0,89,52,4,3,5,7,0,0,61,66,69
389,Pamela Simmons,15080831,40,56,15,4,3,6,1,6,3,56,53,62
390,Gabriel Maldonado,34497598,59,25,45,3,3,3,2,6,5,60,36,61
391,Howard Arrington,25285584,70,47,31,4,3,2,6,8,3,61,50,64
392,Alice Wu,7747582,16,27,38,3,3,2,1,2,6,58,67,80
393,Maria Welter,9992693,21,73,40,3,3,4,8,2,5,65,68,54
394,Tiffany Gaudin,8097106,0,25,45,5,3,7,2,1,4,57,85,69
395,Lynn Baker,27875474,0,36,42,1,5,3,2,6,4,44,74,54
396,Armando Miller,36066185,35,88,31,5,3,3,6,6,3,71,42,79
397,Michael Bledsoe,76396415,63,58,56,6,3,6,6,6,0,53,57,48
398,Rusty Woods,30844548,38,26,21,1,3,4,6,5,4,75,57,58
399,Lee Deruyter,28073473,25,0,26,0,4,4,1,7,4,46,64,63
400,Ronald Larkins,6988313,4,57,19,5,2,2,0,7,3,99,60,49
402,Miranda Tarkington,46505711,51,45,15,4,8,1,6,4,4,79,94,60
403,Jacob Stenson,1466978,69,51,30,2,8,2,7,4,1,77,65,82
404,Lisa Fugate,48206061,30,22,11,1,4,2,3,3,1,84,76,62
405,Hector Schuetz,68302800,0,38,38,4,1,0,2,9,5,96,55,47
406,Willie Allen,91479308,43,54,64,3,2,6,3,3,2,45,58,54
407,Jody Wright,61278733,66,44,43,1,5,2,4,5,3,48,73,80
408,Angel Foskett,40700155,44,8,31,1,7,5,2,4,2,44,64,36
409,Russell Oberlin,30612580,62,56,78,5,4,4,3,3,4,76,70,67
410,Angela Haraway,8957774,9,59,53,1,4,5,4,5,2,75,55,52
411,Lewis Burke,55684398,49,59,30,7,2,6,3,4,3,66,66,80
412,James Dinger,70833431,23,28,83,3,1,3,1,7,3,66,53,63
413,Mario Mcmahen,40873573,30,52,9,3,2,5,6,4,1,78,77,61
414,Theresa Harrison,51636578,29,16,31,4,5,2,1,3,4,73,67,86
415,Jan Butler,15082621,8,23,50,5,4,4,4,2,3,56,72,68
416,Olivia Mease,84396752,58,36,78,1,5,3,5,6,4,51,62,60
417,Maria Villalvazo,71938036,51,52,52,3,4,3,5,7,3,64,72,86
418,Linda Woodard,73356026,21,0,38,1,2,3,5,6,1,60,82,81
419,Richard Raper,55186436,0,56,41,0,3,1,2,6,6,45,89,82
420,Lana Myers,9691059,19,60,12,4,4,5,2,6,3,58,43,57
421,Arnold Overbaugh,11435450,23,73,38,5,3,11,1,1,8,84,71,58
422,Milton Mcginnis,55822144,28,48,56,5,3,3,3,2,5,72,74,70
423,Bryan Pimentel,32229659,47,60,45,2,5,2,1,5,2,66,45,39
424,Tom Pennington,73685230,40,38,30,2,2,4,4,4,3,74,57,53
425,Lloyd Giorgio,22082416,94,44,21,3,8,8,1,5,1,53,60,67
426,Joshua Hartman,56359683,77,17,22,1,10,8,3,7,3,65,55,71
427,Nicholle Topps,34102591,70,75,39,4,0,0,2,6,3,49,42,63
428,Sarah Gutierrez,41674398,54,36,72,4,3,6,3,2,2,56,69,62
429,Chester Chavez,16768637,32,73,50,5,1,11,2,2,8,85,74,55
430,Joe Spence,54322909,81,54,14,3,5,5,2,3,4,63,45,49
431,Ola Williams,23220785,40,30,68,2,1,10,3,4,1,65,100,75
432,Joshua Cobb,66089693,27,0,43,3,4,4,3,8,2,76,66,81
433,Brenda Clay,91475078,50,33,1,6,8,3,2,0,4,73,81,73
434,Joseph Sheldon,33807477,59,9,72,4,6,5,3,4,0,53,76,79
435,Stephen Neese,93780538,16,75,67,4,7,5,2,4,1,61,72,16
436,Frank Clark,23035014,52,72,44,3,6,3,5,4,3,58,74,58
437,Elizabeth Lloyd,38451396,81,9,47,2,7,7,3,3,0,44,46,70
438,Ruby Jones,33399930,34,60,23,3,4,1,3,8,1,71,61,62
440,Olevia Munez,7301918,42,59,9,2,3,0,1,1,2,67,52,28
441,Leona Johnson,3407778,0,53,56,2,4,3,3,7,5,71,89,67
442,Robert Herrera,59152202,36,42,33,6,3,7,3,2,7,89,72,80
443,John Mccormick,32715409,34,45,76,3,2,5,0,4,3,73,54,71
444,Cody Bazin,40920514,24,21,58,1,2,8,6,4,1,47,86,63
445,Barbara Bulger,42716025,32,20,23,6,1,5,0,3,2,68,70,79
446,Brain Lowe,32468093,23,74,1,7,2,7,0,3,3,66,53,77
447,Vivian Seyler,93735631,46,65,14,8,3,5,6,4,1,59,49,78
448,Janice Trammell,9413778,73,37,54,4,3,4,1,3,5,58,31,80
449,Robert Marsh,35946868,10,62,52,3,6,1,4,5,2,65,70,70
450,Walter Jodway,84271562,69,33,64,4,4,6,3,4,4,51,60,65
451,Mary Butler,69533915,83,59,10,7,0,7,4,3,6,65,76,100
452,Marc Gallagher,16459980,39,20,46,2,4,7,2,3,2,51,76,85
453,Karen Frey,88639853,73,32,70,3,11,5,9,6,5,55,57,69
454,Margaret Bender,85190758,80,37,34,3,9,4,4,3,2,54,69,58
455,Matthew Harbach,75934695,29,50,17,3,3,3,1,4,2,76,47,46
456,Mary Arnold,72991351,10,52,39,3,6,6,3,4,2,74,56,37
457,Raymond Gloss,54857836,20,27,24,4,1,6,6,4,6,81,94,53
458,Erica Latimer,78973158,32,83,38,4,6,3,6,5,3,59,56,73
459,Marilyn Perry,59694178,61,69,39,5,1,1,3,6,1,66,63,75
460,Christopher Ellingson,16282049,0,60,44,5,3,6,6,5,6,66,76,68
461,Wesley Robinson,84186716,0,30,52,5,1,11,0,0,5,44,69,77
462,Danna Parrish,89727545,59,42,54,9,3,8,2,3,2,50,72,79
463,Gary Falkner,11223954,44,51,62,5,3,10,4,2,1,62,96,67
464,Elaine Bagley,37706287,0,50,35,5,3,6,5,3,5,74,86,70
465,Piper Brown,92624107,75,15,62,3,3,5,4,3,1,47,47,64
466,Bridget Clark,2534745,53,71,28,2,8,4,0,4,4,31,42,100
467,Justin Thrasher,21112702,56,76,25,6,3,5,5,4,3,52,64,63
468,Brent Ames,8053562,35,68,52,3,6,0,2,3,2,47,89,74
469,Jonathan Summers,69937239,30,67,48,5,3,6,2,3,0,65,44,56
470,Becky Soto,58530282,41,68,17,4,3,2,3,4,1,86,65,58
471,Daniel Pittman,78891611,35,35,43,4,5,3,3,1,2,57,57,75
472,Alberta Pope,56054557,3,40,24,4,2,4,8,2,5,76,77,76
473,Idella Wegman,66224888,38,61,52,5,5,2,4,4,4,60,79,67
474,Joyce Athan,47259186,82,36,32,2,11,6,5,5,1,54,82,72
475,Kathleen Stjohn,77604276,30,27,56,2,3,8,3,4,2,66,100,82
476,Barbara Slostad,44826409,56,31,46,3,2,0,5,4,5,69,67,64
477,Grace Litaker,82258999,40,71,33,2,5,3,5,8,3,55,58,65
478,Marjorie Hoard,7964222,0,39,38,5,4,7,1,0,5,62,58,72
479,Lisa Rojas,98353847,57,66,25,6,3,1,2,10,1,53,58,88
480,Cindy Shafer,56276547,62,65,61,4,5,2,3,2,4,67,67,66
481,Rafael Rutenberg,26326873,37,70,14,5,2,6,5,7,6,46,62,73
482,Patrick Ybanez,32766718,13,33,44,4,6,9,0,1,4,69,77,96
483,Jo Baugh,70961726,34,27,42,3,2,5,4,2,4,53,68,73
484,Michael Clark,10333043,50,31,30,5,2,5,2,5,7,84,79,86
485,Jacqueline Cadwell,96562165,49,49,50,4,5,5,0,4,3,68,82,96
486,Ervin Dunlop,51810344,14,17,68,3,0,6,3,9,7,44,68,59
487,Ryan Thomas,54474209,62,30,46,4,3,5,3,3,2,60,66,66
488,Sandra Tufts,82559698,69,41,29,7,1,7,2,1,4,58,69,100
489,Joan Olson,84235049,28,0,15,3,4,3,2,4,1,85,54,68
490,Cathy Robinson,46148112,23,43,25,3,2,0,4,6,5,70,69,88
491,Victor Corder,28224969,20,15,0,1,2,1,6,6,3,65,45,69
492,Bradley Clay,67015124,0,11,17,2,3,3,2,5,4,78,52,61
493,Deanna Haupt,84491164,62,45,34,5,5,4,3,8,2,53,62,57
494,Joaquin Mcilvaine,98281916,18,64,18,8,6,6,3,0,0,74,62,62
495,Sherry Aguila,87461390,19,38,29,4,4,8,0,2,3,48,79,97
496,Brandy Elledge,21433208,4,50,27,4,4,6,6,0,3,78,82,69
497,Lisa Noble,73814183,23,45,38,4,4,2,3,5,3,82,61,54
498,Charles Craft,97880765,46,57,31,3,2,1,5,4,3,62,65,62
499,Edith Sullivan,56436909,43,72,20,2,4,5,3,3,4,72,69,56
500,Martha Norman,77529643,18,55,47,2,2,2,6,1,3,77,83,85
501,Clara Harrison,75513673,45,54,0,5,1,7,2,11,4,48,63,47
502,Judy Davis,55563756,62,45,8,3,1,2,10,1,7,77,69,57
503,Jean Stratton,43508827,53,29,50,3,4,0,3,3,3,61,52,51
504,David Markley,10848480,49,21,0,8,3,4,0,6,1,63,58,60
505,Nathaniel Noya,7978112,66,70,31,6,1,0,4,5,3,64,72,79
506,Eileen Finley,1147648,0,56,11,2,1,8,5,2,6,80,93,35
507,Cedric Buss,33729943,50,53,5,4,1,4,8,4,4,59,59,50
508,James Ray,62724217,35,35,63,3,0,0,5,3,5,35,54,59
509,Lauren Vega,71562358,42,4,58,6,6,5,7,7,5,78,59,79
510,Joshua Brown,48754463,6,47,39,5,2,8,5,4,9,88,83,61
